vignette_id,true_tier,pre_clarification_tier,hit_borderline_path,final_tier,correct_before,correct_after
V138,emergency,emergency,False,emergency,True,True
V139,emergency,urgent,True,emergency,False,True
V140,urgent,urgent,True,urgent,True,True
V141,emergency,urgent,True,emergency,False,True
V142,urgent,urgent,True,urgent,True,True
V143,routine,urgent,True,routine,False,True
V144,emergency,emergency,False,emergency,True,True
V145,emergency,emergency,False,emergency,True,True
V146,routine,routine,False,routine,True,True
V147,urgent,urgent,True,urgent,True,True
V148,urgent,urgent,True,urgent,True,True
V149,emergency,urgent,True,urgent,False,False
V150,emergency,urgent,True,emergency,False,True
V151,emergency,emergency,False,emergency,True,True
V152,routine,routine,False,routine,True,True
V153,emergency,urgent,True,emergency,False,True
V154,urgent,urgent,True,urgent,True,True
V155,urgent,urgent,True,urgent,True,True
V156,emergency,emergency,False,emergency,True,True
V157,emergency,emergency,False,emergency,True,True
V158,routine,routine,False,routine,True,True
V159,urgent,urgent,True,urgent,True,True
V160,urgent,urgent,True,urgent,True,True
V161,routine,routine,False,routine,True,True
V162,emergency,emergency,False,emergency,True,True
V163,emergency,emergency,False,emergency,True,True
V164,routine,urgent,True,routine,False,True
V165,urgent,urgent,True,urgent,True,True
V166,emergency,urgent,True,emergency,False,True
V167,urgent,urgent,True,urgent,True,True
V168,emergency,emergency,False,emergency,True,True
V169,emergency,emergency,False,emergency,True,True
V170,routine,routine,False,routine,True,True
V171,urgent,urgent,True,urgent,True,True
V172,urgent,urgent,True,urgent,True,True
V173,urgent,urgent,True,urgent,True,True
V174,emergency,emergency,False,emergency,True,True
V175,emergency,urgent,True,emergency,False,True
V176,routine,routine,False,routine,True,True
V177,urgent,urgent,True,urgent,True,True
V178,routine,routine,False,routine,True,True
V179,urgent,urgent,True,urgent,True,True
V180,emergency,emergency,False,emergency,True,True
V181,urgent,urgent,True,urgent,True,True
V182,routine,routine,False,routine,True,True
V183,urgent,urgent,True,urgent,True,True
V184,urgent,routine,False,routine,False,False
V185,urgent,urgent,True,urgent,True,True
V186,urgent,urgent,True,urgent,True,True
V187,urgent,urgent,True,urgent,True,True
V188,routine,routine,False,routine,True,True
V189,routine,routine,False,routine,True,True
V190,urgent,urgent,True,urgent,True,True
V191,routine,urgent,True,routine,False,True
V192,emergency,emergency,False,emergency,True,True
V193,urgent,urgent,True,urgent,True,True
V194,routine,urgent,True,routine,False,True
V195,urgent,urgent,True,urgent,True,True
V196,urgent,urgent,True,urgent,True,True
V197,routine,routine,False,routine,True,True
V198,urgent,urgent,True,urgent,True,True
V199,urgent,urgent,True,urgent,True,True
V200,urgent,urgent,True,urgent,True,True
V201,urgent,urgent,True,routine,True,False
V202,urgent,urgent,True,urgent,True,True
V203,routine,urgent,True,routine,False,True
V204,urgent,urgent,True,urgent,True,True
V205,emergency,urgent,True,urgent,False,False
V206,routine,urgent,True,routine,False,True
V207,urgent,urgent,True,urgent,True,True
V208,routine,urgent,True,routine,False,True
V209,urgent,urgent,True,urgent,True,True
