vignette_id,predicted_tier,response,mode
V048,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V049,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V050,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V051,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V052,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V053,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V054,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V055,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V056,routine,"Given that you are concerned about your high cholesterol and blood pressure, which have been previously diagnosed, the next step would be to understand more about any new symptoms or changes in existing ones. 

** Clarifying question: ** Have you noticed any changes in how you feel recently, such as increased fatigue, shortness of breath during physical activities, or any other new symptoms?",clarify
V057,routine,"Given your history of high cholesterol and blood pressure, and the new symptoms you're experiencing, how long has this increased fatigue and heaviness in your legs been present?",clarify
V058,routine,"Given your history of high cholesterol and family history of heart issues, have you noticed any changes in your energy levels or experienced any chest discomfort recently?",clarify
V059,routine,"Given the information about your fatigue, high cholesterol, and slightly elevated blood pressure, could you describe how this fatigue has been affecting your daily activities or energy levels compared to before?",clarify
V060,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V061,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V062,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V063,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V064,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V065,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V066,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V067,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V068,routine,"Have you noticed any specific situations or events that seem to trigger your anxiety, or does it feel more diffuse and constant?",clarify
V069,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V070,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V071,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V072,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V073,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V074,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V075,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V076,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V077,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V078,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V079,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V080,routine,"Given the information provided, there doesn't seem to be any immediate concern based on the fever being moderate and the child appearing well otherwise. However, to better understand the context and potential categorization of this symptom, could you please mention if there have been any recent illnesses or exposures in your family that might be relevant?",clarify
V081,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V082,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V083,routine,"Have you noticed any other symptoms accompanying the cough, such as fever, runny nose, or difficulty breathing?",clarify
V084,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V085,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V086,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V087,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V088,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V089,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V090,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V091,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V092,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V093,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V094,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V095,routine,"Could you tell me more about when you first noticed the change in your urine color and volume, and if there have been any patterns or triggers associated with it?",clarify
V096,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V097,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V098,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V099,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V100,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V101,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V102,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V103,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V104,routine,Could you describe any new symptoms or changes in your existing symptoms that have occurred alongside the flare-up? This could help provide more context for categorizing what might be happening.,clarify
V105,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V106,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V107,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V108,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V109,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V110,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V111,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V112,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V113,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V114,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V115,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V116,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V117,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V118,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V119,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V120,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V121,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V122,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V123,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V124,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V125,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V126,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V127,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V128,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V129,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V130,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V131,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V132,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V133,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V134,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V135,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V136,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V137,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V138,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V139,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V140,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V141,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V142,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V143,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V144,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V145,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V146,routine,"Given the information provided, the most useful next step would be to ask about any associated symptoms or activities. Could you tell me if there were any recent changes in your skincare products, exposure to new environments, or other factors that might have triggered this rash?",clarify
V147,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V148,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V149,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V150,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V151,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V152,routine,"Have you experienced this fatigue suddenly after a particular event, like starting a new medication or experiencing high stress?",clarify
V153,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V154,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V155,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V156,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V157,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V158,routine,"Given the information provided, the next useful question would be about any recent activities or environmental factors that might have triggered the nose bleed. 

Can you think of any recent activities, such as nose picking, blowing your nose too hard, being in a dry environment, or having recently experienced a change in altitude, that could have led to this nose bleed?",clarify
V159,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V160,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V161,routine,"Have the nosebleeds and sinus pressure occurred together frequently, or are they mostly isolated events?",clarify
V162,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V163,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V164,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V165,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V166,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V167,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V168,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V169,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V170,routine,"Given the information provided, a clarifying question to help categorize this symptom could be:

Have you noticed any swelling or changes in the size of your testicles along with the pain?",clarify
V171,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V172,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V173,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V174,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V175,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V176,routine,"Given the onset and severity of your pelvic pain, which seems to be ongoing but not severe, a helpful question to ask would be:

When did you first notice this pelvic pain, and has it been consistent or intermittent since then?",clarify
V177,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V178,routine,"Have you noticed any other symptoms accompanying the pelvic pain, such as changes in vaginal discharge, fever, abnormal bleeding, or discomfort during urination or bowel movements?",clarify
V179,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V180,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V181,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V182,routine,Have you experienced any recent changes in your diet or physical activity that might be related to these symptoms?,clarify
V183,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V184,routine,Have you noticed any recent changes in your height or posture that could indicate bone loss associated with osteoporosis?,clarify
V185,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V186,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V187,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V188,routine,"Given that you are reporting no new symptoms, let's focus on your history to better understand your current management. Could you tell me more about any recent changes in your routine or environment that might be relevant to your autism management?",clarify
V189,routine,"Has this increase in activity been accompanied by any other symptoms such as irritability, difficulty sleeping, or physical complaints like stomachaches?",clarify
V190,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V191,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V192,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V193,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V194,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V195,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V196,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V197,routine,Have you noticed any specific activities or positions that seem to trigger or worsen the muscle stiffness and spasms?,clarify
V198,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V199,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V200,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V201,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V202,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V203,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V204,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V205,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V206,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V207,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V208,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V209,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
