test_query,relevant_chunk_retrieved,reviewer_notes
"My child is having a coughing fit that won't stop, how urgent is this?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'no'])"
"Someone told me they intend to harm themselves, what should happen?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"Someone seems very low and withdrawn but hasn't said they want to hurt themselves, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I'm pregnant and having vaginal bleeding, is this an emergency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I'm pregnant and my baby's movements have decreased, how urgent is this?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I'm pregnant with a severe headache and vision changes, is this concerning?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'no'])"
"My infant under 3 months has a fever, is this different from an older child?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"My child seems unusually drowsy and hard to wake with a fever, what should I do?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"My child swallowed something they shouldn't have, how urgent is this?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What are general warning signs of sepsis?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
"I have a fever with confusion, what does this mean?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have an infected wound with fever, how urgent is this?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have kidney disease and I'm urinating much less than usual, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I'm on dialysis and missed a session, is this an emergency?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have kidney disease and I'm confused, is this related?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have liver disease and my skin turned yellow, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'yes'])"
"I have liver disease and I'm confused, what does this mean?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have liver disease and I'm vomiting blood, is this an emergency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have an autoimmune condition and take immunosuppressants, I have a fever, how urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have lupus and chest pain, does lupus change the urgency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have new severe joint swelling and fever, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I started a new medication and have facial swelling and difficulty breathing, what should I do?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
"I think I took too much of a medication, what should happen?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I missed a dose of my regular medication, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have hives after eating something but can breathe fine, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
"My child has a known severe allergy and may have been exposed, how urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'yes'])"
"My throat feels tight after a possible allergic reaction, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have severe abdominal pain with bloating and no bowel movements, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have blood in my stool, is this always urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have known IBD and a fever along with my bowel symptoms, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a known clotting disorder and swelling and pain in one leg, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have sickle cell disease and severe pain in my chest, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a bleeding disorder and uncontrolled bleeding, is this an emergency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have epilepsy and my seizure is different from my usual pattern, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have dementia and the person is suddenly more confused than baseline, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'no'])"
"I have a known brain tumor and a sudden severe headache, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have sudden vision loss in one eye, is this an emergency?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'no'])"
"I have sudden severe eye pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a chemical splash in my eye, what should I do?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a rash that doesn't fade when I press on it, with fever, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'no'])"
"I have widespread skin peeling or blistering, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a wound that's red, warm, swollen and draining pus, how urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'yes'])"
"An older adult has new confusion, is this always urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'no'])"
"An older adult has had a fall with no obvious injury, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Why might the same symptom be more urgent in an older adult?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a nosebleed that won't stop after firm pressure, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
"My child put something small up their nose, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have facial swelling around my nose and eyes with fever, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'yes'])"
"I have a persistent cough with fever and bloody mucus, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have sudden sharp chest pain worse with breathing and shortness of breath, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have known lung cancer and I'm coughing up blood, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have sudden severe testicular pain, is this an emergency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have difficulty urinating with fever and pelvic pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a prolonged painful erection unrelated to sexual activity, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have sudden severe pelvic pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have heavy vaginal bleeding, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'yes'])"
"I have a positive pregnancy test with severe abdominal pain and bleeding, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have osteoporosis and had a fall with new hip pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have frailty and I'm eating and drinking much less than usual, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'no'])"
"I have osteoporosis and new numbness in my legs with back pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"An autistic person is having a meltdown, is this a medical emergency?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"An autistic person cannot verbally describe their pain, how should pain be assessed?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"An autistic person's caregiver reports a behavior change, should this be taken seriously?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have cerebral palsy and new difficulty breathing, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have cerebral palsy and I'm having a seizure, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have cerebral palsy and increased muscle spasticity, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'yes', 'no'])"
"I feel generally unwell but can't identify a specific symptom, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'no'])"
"I have unexplained weight loss, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
"I have general fatigue that's persisted for weeks, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have severe tooth pain with facial swelling, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have a knocked-out permanent tooth, is this urgent?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"I have jaw pain along with chest pain, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
